\bm{\mathfrak{g}},Lie algebra, group, algebraic structure, representation theory, Lie group
\bm{\mathfrak{h}},Hamiltonian,hardness,Hamilton operator,helicity,hyperpolarizability
\bm{\mathfrak{i}},imaginary unit, complex number, square root of -1, imaginary part
\bm{\mathfrak{j}},vector,matrix,physics,quantum,operator
\bm{\mathfrak{k}},Lie algebra,Kac-Moody algebra,structure constant,cartan subalgebra
\bm{\mathfrak{l}},Lie algebra,Lagrangian density,Lebesgue measure,Legendre symbol,lower triangular matrix
\bm{\mathfrak{m}},field equation,algebraic number,relative modulus,solid geometry,finite field
\bm{\mathfrak{n}},superset,neighborhood,natural number,normal subgroup,net
\bm{\mathfrak{o}},operator,observable,orbit,order,orthogonal
\bm{\mathfrak{p}},prime ideal,probability density function,p-value,derivative function,function parameter,measure theory
\bm{\mathfrak{q}},quantum state,quantum operator,quaternion,quantum field theory,quark
\bm{\mathfrak{r}},vector field, radius vector, orbital radius, position vector, wave vector
\bm{\mathfrak{s}},group symmetry,group theory,lie algebra,theory long time,transformation group
\bm{\mathfrak{t}},tensor,test statistic,time,tension,torsion
\bm{\mathfrak{u}},group,element,unit vector,mean velocity,uncertainty
\bm{\mathfrak{v}},vector field,velocity,tangential velocity,fluid velocity,momentum vector
\bm{\mathfrak{w}},mathematical symbol,variable,vector field,angular velocity,weight vector
\bm{\mathfrak{x}},matrix,vector,function,transform,variable
\bm{\mathfrak{y}},vector field,coordinate system,function,point,manifold
\bm{\mathfrak{z}},complex number,eigenvalue,impedance,function,coordinate
\mathss{A},adjacency matrix,algebraic multiplicity,angular momentum operator,atomic mass unit,assigning matrix
\mathss{B},Brillouin function, magnetic field, buoyant force, Bernoulli's equation, boundary conditions
\mathss{C},centroid,conservative,complex matrix,concentration,current density
\mathss{D},derivative,tensor product operator,distance function,discrete random variable,external force
\mathss{E},expectation,energy,entropy,exponential,ensemble
\mathss{F},force,field,flow,flux,Fourier transform
\mathss{G},group,generator,Green's function,Grassmann variable,graph
\mathss{H},Hamiltonian,Heisenberg operator,Hubble parameter,Hamiltonian operator,Hopf-winding number
\mathss{I},image,interval,inner product,information matrix,intrinsic volume
\mathss{J},determinant, bessel function, total angular momentum, exchange integral, Joule
\mathss{K},curvature radius, curvature tensor, curvature form, curvature scalar, curvature vector
\mathss{L},Lagrangian,memoryless,moment generating function,meiosis,metallic bond
\mathss{M},matrix, mapping, measure space, manifold, minimal polynomial
\mathss{N},dimension,number set,noise level,signal-to-noise ratio,training set
\mathss{O},orthogonal matrix,origin,order statistic,outer product
\mathss{P},probability,pressure,periodic orbit,principal of entropy
\mathss{Q},quaternion,quantum mechanics,qubit,array,quadratic function
\mathss{R},radon transform,Riccati equation,Riemann integral,vector potential,rigorous analysis
\mathss{S},structure tensor,stopping time,system of equations,symmetry group,spectral radius
\mathss{T},stress tensor,stiffness matrix,symmetric tensor,transformation matrix,strain tensor
\mathss{U},subspace,unitary matrix,weighted sum,vector field
\mathss{V},velocity, volume, voltage, variance
\mathss{W},Work,weight,wavelength,wavenumber,Westcott function
\mathss{X},symmetric group,entropy rate,spatial spectrum,multiplicative substructure,covariance matrix
\mathss{Y},set of outputs, centroid,vector space,basis,cosine similarity
\mathss{Z},integer,complex number,random variable,z-transform,matrix
\mathss{a},area,mass specific,surface tension(angle),isotherm
\mathss{b},beta,ball,basis,block,branch
\mathss{c},center,constant,curve,cosine,conduction
\mathss{d},differential operator,distance between two points in space,density function,diameter of a circle,time step
\mathss{e},exponentiation, error term, explicit solution, equilibrium constant
\mathss{f},subspace,row vector,vector field,module fifty,node operating system
\mathss{g},group,generator,graph,geodesic,gradient
\mathss{h},magnetic field strength,planck constant,plank constant,quantum number,quantized energy
\mathss{i},imaginary unit,complex number,complex plane,quantum mechanics,vector analysis
\mathss{j},electric current density,unit vector in the y-direction,imaginary unit,current density vectororientation vector
\mathss{k},wave number,curvature,radius of curvature,moment connection magicolor,curvature of a curve
\mathss{l},line,line integral,lens,lattice site,laminar flow
\mathss{m},mass,momentum,magnetic dipole moment,mean,maximum
\mathss{n},number of elements, dimensions, upper bound, positive integer, sub-matrix
\mathss{o},circumference,vector from origin,orthogonal complement,projection map,zero vector
\mathss{p},pressure,scalar potential,specific entropy,statistical parameter,specific internal energy
\mathss{q},quadratic,quantity,quadrant,quasar,quark
\mathss{r},radius,root,rotation,rank,random
\mathss{s},scalar,tangent,solution,vector,sum
\mathss{t},t,theta,tilde,tangent,resistor
\mathss{u},surface tension,stagnation point,streamwise,showerhead,sublayer
\mathss{v},velocity,vector,velocity field,variable,vector field
\mathss{w},angstrom,wavelength,width,weight,work
\mathss{x},tensor,cosine,sinusoid,function,derivative
\mathss{y},variable, function, output, derivative, equation
\mathss{z},complex number, impedance, compressibility factor, fugacity coefficient, atomic number
\bm{\mathss{A}},vector,energy matrix,tensor,vector field,nonlinear transformation
\bm{\mathss{B}},bold vector,symmetric bilinear form,symmetric binary relation,semisimplicial set
\bm{\mathss{C}},complex number, constant, capacity, curvature, critical point
\bm{\mathss{D}},determinant,displacement vector,differential operator,Dirac operator,deformation tensor
\bm{\mathss{E}},expectation, matrix exponential, velocity field, elliptic integral, error function
\bm{\mathss{F}},vector field,force vector,vector function,flow rate,flux density
\bm{\mathss{G}},Group,graph,Green's function,Gaussian distribution,gravitational constant
\bm{\mathss{H}},matrix,hamiltonian,hyperplane,hadamard,fourier
\bm{\mathss{I}},vector,identity matrix,inertia tensor,power identity matrix,runtime exact bound
\bm{\mathss{J}},Jacobian,row-wise joint estimation,jacobi method,radiation protection
\bm{\mathss{K}},covariance matrix,mathematical constant,Gaussian curvature,Kelvin function,Karhunen-Loève decomposition
\bm{\mathss{L}},Lagrangian, Loss function, Lattice, Lifshitz point
\bm{\mathss{M}},matrix,magnetization,momentum,mass,material
\bm{\mathss{N}},norm,neutron number,Newton,Nash equilibrium,noise model
\bm{\mathss{O}},operator,orthogonal matrix,objective function,outer product,origin
\bm{\mathss{P}},probability distribution, power set, upper bound, prime number, signal power
\bm{\mathss{Q}},vector space,quadratic form,qualitative statement,quadratic equation
\bm{\mathss{R}},matrix,real number,random variable,vector.
\bm{\mathss{S}},matrix transformation,vector space,symmetry group,spin operator,scalar field
\bm{\mathss{T}},transpose matrix,vector field,torque tensor,tensor field,probability distribution
\bm{\mathss{U}},unitary matrix,uncertainty principle,energy operator,unitary operator,eigenstate
\bm{\mathss{V}},vector,velocity,velocity field,vector potential,velocity dispersion
\bm{\mathss{W}},vector field,energy,wavefunction,potential function,quantum mechanical position operator
\bm{\mathss{X}},vector,matrix,symbol.variable,constant
\bm{\mathss{Y}},matrix, vector, field, space, group
\bm{\mathss{Z}},integer set,integer zero,polar set,zero field,programming language
\bm{\mathss{a}},vector,acceleration,angle,unit vector,subscript
\bm{\mathss{b}},bold math symbol,vector field,vector,bundle encryption_declaration
\bm{\mathss{c}},vector,component,coordinate,curl,convolution
\bm{\mathss{d}},differential operator,distance element,state vector,metric tensor,velocity vector
\bm{\mathss{e}},unit vector,base of natural logarithm,Euler's number,eigenvalue,electric field
\bm{\mathss{f}},bold f,statistical physics,force vector,quantum field theory,fluid dynamics
\bm{\mathss{g}},Geometric multiplicity, gravity, gradient, group theory, general solution
\bm{\mathss{h}},vector,magnetic field,Hamiltonian,Planck's constant,external field
\bm{\mathss{i}},imaginary unit,vector,index,error term,kappa symbol
\bm{\mathss{j}},quantum number,imaginary unit,vector index,angular momentum,unit imaginary number
\bm{\mathss{k}},vector,wave number,constant,quantum number,position vector
\bm{\mathss{l}},angular momentum,angular speed,angular momentum operator,angular frequency,angular wave number
\bm{\mathss{m}},matrix,momentum,mode,multiplicity,module
\bm{\mathss{n}},vector,normal unit vector,exponent,vector field
\bm{\mathss{o}},vector,coordinate,origin,order,axis
\bm{\mathss{p}},vector,momentum,position,probability dipole
\bm{\mathss{q}},tensor,vector,quantum,quantity,field
\bm{\mathss{r}},position vector, magnitude of position vector, radius vector, unit vector, relative position vector
\bm{\mathss{s}},precession angle,spin state,selection rule,torsion constant,steric factor
\bm{\mathss{t}},bold t,time,temperature,tensor,vector
\bm{\mathss{u}},vector field,velocity field,unit vector,velocity vector,normalized vector
\bm{\mathss{v}},vector,velocity,variable,velocity field,vector field
\bm{\mathss{w}},vector,matrix,gradient,tensor,weight vector
\bm{\mathss{x}},vector,point,variable,unknown,parameter
\bm{\mathss{y}},bold math symbol of vector or tensor,y component,y coordinate,vector or tensor symbol,mathematical symbol,linear algebra concept
\bm{\mathss{z}},vector,matrix,constant,tensor,operator
\mathssit{A},acceleration,amplitude,area,angular velocity,angular acceleration
\mathssit{B},field strength,block design,Brillouin zone,Bethe number,birefringence
\mathssit{C},curve,constant,circle,vector,vector field
\mathssit{D},derivative,decimal,degree,adjacency matrix,dependency matrix
\mathssit{E},energy,expectation value,error function,electric field,eigenvalue
\mathssit{F},force,field,form factor,function,flux
\mathssit{G},graph,group,gap,generator,geodesic
\mathssit{H},Hamiltonian, Higgs boson, Hermitian matrix, Helmholtz equation, heat transfer
\mathssit{I},complex number,identity matrix,imaginative unit,vector space,unit matrix,unit tensor
\mathssit{J},Jacobian, Jacobi method, joint probability, Jordan normal form, Jelinek-Mercer smoothing
\mathssit{K},Kalman filter, Karhunen-Loève transform, Kolmogorov complexity, Kolmogorov-Smirnov test, Kullback-Leibler divergence
\mathssit{L},Lagrangian, line, length, longitude, latitude
\mathssit{M},matrix,markov chain,mathematical programming,micro-architecture
\mathssit{N},normal force, neutron number, number of moles, refractive index, atomic weight
\mathssit{O},orthogonal matrix,onset point,octet,oxidation number,eigenvalue
\mathssit{P},probability,dot product,power set,principal value,projective space
\mathssit{Q},quadratic equation,Quaternion algebra,quasirandom number generator,quadratic formula,quantum field theory
\mathssit{R},real number,rotation matrix,radius,vector space,reflection matrix
\mathssit{S},subgroup,subspace,semigroup,summation,slope
\mathssit{T},Transpose matrix, true statement, taxonomy, temperature, tensor
\mathssit{U},potential energy,fully submerged body,upward unit vector,uncertainty principle,flow velocity
\mathssit{V},velocity, volume, voltage, variance
\mathssit{W},work,weight,wavelength,waveform,white noise
\mathssit{X},random variable, output space, sample space, state space, decision space
\mathssit{Y},dependent variable,Young's modulus,hyperbola,hyperbolic function
\mathssit{Z},zeta,zero potential energy surface,zirconium dioxide,zero padding,zero phase
\mathssit{a},acceleration,angular acceleration,semimajor axis,atomic mass,amplitude
\mathssit{b},bending stress,calculation,bulk modulus,beam vibration,boyle's law
\mathssit{c},cosine, constant, curved space, Carathéodory's theorem
\mathssit{d},derivative, differential element, distance, infinitesimal increment, radial distance
\mathssit{e},numerical constant,natural logarithm base,elliptic integral,trigonometric function,expectation symbol
\mathssit{f},function,velocity,acceleration,momentum,force
\mathssit{g},group,gradient,geometry,graphing,gluon
\mathssit{h},Hamiltonian,hyperplane,half-life,Hopf algebra,Hamilton-Jacobi equation
\mathssit{i},imaginary unit,complex number,root of -1,quaternion,vector rotation
\mathssit{j},imaginary unit,complex number,quantum mechanics,statistics,Kronecker delta
\mathssit{k},wave number,stiffness coefficient,spring constant,thermal conductivity coefficient,curvature constant
\mathssit{l},length,likelihood ratio,limit,lower bound,luminance
\mathssit{m},momentum,mass,magnetic quantum number,magnetization,moment of inertia
\mathssit{n},non-negative integer, positive integer, natural number, whole number, complex number
\mathssit{o},order,tensor,partial derivative,Landau symbol,small perturbation
\mathssit{p},position,period,probability,power,function
\mathssit{q},quadratic equation,quadrature signal,quartic function,quantum state,quasilinear equation
\mathssit{r},radius,correlation coefficient,rotation matrix,Sylvester rank,matrix rank
\mathssit{s},stress,deviation, shear,scalar,vector
\mathssit{t},temperature, time, tangent, tension, torque
\mathssit{u},velocity,uncertainty,upper bound,unit vector,uniform distribution
\mathssit{v},velocity,signal variance,vorticity,vector field,output voltage
\mathssit{w},field of complex numbers,field of real numbers,quantum state,vector space,harmonic function
\mathssit{x},set,space,time,name,hexadecimal
\mathssit{y},flux density,signal strength,power spectral density,discriminant function,decision boundary
\mathssit{z},complex number, distance, function, variable, field
\bm{\mathssit{A}},operator,A,B,C,vector
\bm{\mathssit{B}},algebraic variety,group representation theory,Bethe ansatz semiclass,finite-dimensional representation,vector bundles
\bm{\mathssit{C}},vector field,causal structure,commutator,curvature tensor,frame field
\bm{\mathssit{D}},differential operator,determinant,distribution,divergence,derivative
\bm{\mathssit{E}},expectation,energy,electric field,eigenvalue,entropy
\bm{\mathssit{F}},force, magnetic field, deformation tensor, fundamental matrix, atomic force
\bm{\mathssit{G}},vector field,Cartesian coordinate system,gradient operator,metric tensor,Green's function
\bm{\mathssit{H}},field strength, Hamiltonian, Hilbert space, helicity, Higgs field
\bm{\mathssit{I}},vector potential,magnetic moment,current density,vector identity
\bm{\mathssit{J}},angular momentum,joint distribution,Jeffreys prior,Jacobian matrix
\bm{\mathssit{K}},matrix, kernel, curvature, conductivity, converging
\bm{\mathssit{L}},Lagrangian, likelihood, longitude, Lambda, Langrange
\bm{\mathssit{M}},matrix,modulus,mean,manifold,magnetic induction
\bm{\mathssit{N}},norm,neutron number,Newton,Newton's law of cooling,neutrino
\bm{\mathssit{O}},operator,observation matrix,outer product,open set,orthogonal matrix
\bm{\mathssit{P}},probability, power spectral density, pressure gradient, power spectral estimation, perturbation
\bm{\mathssit{Q}},quaternion,quadric surface,quasi-likelihood,qubit,quadrature
\bm{\mathssit{R}},field of real numbers,vector space over real numbers,space of continuous real-valued functions,space of square integrable real-valued functions,space of differentiable real-valued functions
\bm{\mathssit{S}},symmetric matrix,surface area,steady state equilibrium,symmetry group,segmentation fault
\bm{\mathssit{T}},transpose,Taylor series,T-periodic,temperature,tensor
\bm{\mathssit{U}},dimensionless number,velocity field,deformation tensor,constitutive relation,constitutive tensor
\bm{\mathssit{V}},vector,velocity,volume,vorticity,viscosity
\bm{\mathssit{W}},hamiltonian,weighted adjacency matrix,angular frequency,vector potential,betweenness centrality
\bm{\mathssit{X}},matrix,vector,state space,model parameter,random variable
\bm{\mathssit{Y}},vector,matrix,tensor,field,function
\bm{\mathssit{Z}},complex number,partition function,Zernike polynomials,atomic number
\bm{\mathssit{a}},vector,acceleration,angular acceleration,subscript,angle
\bm{\mathssit{b}},vector,magnetic field,beta,black hole,blue-shift
\bm{\mathssit{c}},vector field, speed of light, velocity of light, complex number
\bm{\mathssit{d}},differential,derivative,element,distance,vector
\bm{\mathssit{e}},exponential function, Euler's number, error function, unit vector, expectation value
\bm{\mathssit{f}},vector field,function,vector,flux,surface integral
\bm{\mathssit{g}},metric tensor,gravitational acceleration,generating function,group action,geometric algebra
\bm{\mathssit{h}},vector field,planck constant,specific enthalpy,magnetic field strength,conjugate variable
\bm{\mathssit{i}},complex unit,complex number,imaginary unit,quaternion,formal power series
\bm{\mathssit{j}},imaginary unit, index of summation, unit vector, notation for quaternion, minimal polynomial
\bm{\mathssit{k}},spring constant, wave number, thermal conductivity, Boltzmann constant, magnetic susceptibility
\bm{\mathssit{l}},unit vector,linear momentum,angular momentum,orbital angular momentum,orbital angular momentum quantum number
\bm{\mathssit{m}},momentum,mass,magnetic moment,magnetization,molecularity
\bm{\mathssit{n}},vector,unit normal,complex number,positive integer,unit vector
\bm{\mathssit{o}},vector,order,point,zero,power
\bm{\mathssit{p}},parameter,probability distribution,density function,power series expansion,statistical estimation
\bm{\mathssit{q}},vector,matrix,quaternion,quantum mechanics,quadratic equation
\bm{\mathssit{r}},vector position,radial distance,vector radius,position vector,displacement vector
\bm{\mathssit{s}},vector,scalar,tensor,function,object
\bm{\mathssit{t}},time,temperature,tensor,transformation,thermal
\bm{\mathssit{u}},vector field,velocity field,unit vector,electric field,gradient vector
\bm{\mathssit{v}},velocity,vector,function,position,acceleration
\bm{\mathssit{w}},vector,parameter,weight,variable,scalar
\bm{\mathssit{x}},vector,statistic,variable,tensor,parameter
\bm{\mathssit{y}},vector,variable,symbol,function,scalar
\bm{\mathssit{z}},vector field, real number, complex number,vector space coordinate, z-transform
\mathtt{A},matrix,algorithm,analysis,approximation,Abelian
\mathtt{B},bifurcation diagram,background radiation,bond strength,bulk modulus,beam bending
\mathtt{C},concentration,carbon,specific heat capacity,complex number,code
\mathtt{D},derivative,  data,  distance,  dimension,  duration
\mathtt{E},energy,expectation value,error term,eigenvalue,equilibrium
\mathtt{F},force, frequency, Fourier transform, field, friction
\mathtt{G},group theory, green's function, geodesic, gauge transformation, gravity
\mathtt{H},Hamiltonian, Hilbert space, Higgs boson, heat capacity, Hubble constant
\mathtt{I},identity matrix, interpolation, imaginary unit, inertia tensor, image recognition
\mathtt{J},Jacobian matrix, Jacobian determinant, J-integral, joint distribution, Job's law
\mathtt{K},kernel,constant,rate,coefficient,space
\mathtt{L},line, length, limit, lagrangian, loss
\mathtt{M},matrix, method, model, manifold, metric
\mathtt{N},natural number,normal force,Newton's second law,sample size,normal distribution
\mathtt{O},Orbit, Output, Operator, Overflow, Optimization
\mathtt{P},point,probability,pressure,Poisson distribution,permutation
\mathtt{Q},quadratic equation,quantum mechanics,quaternion,quasi-Newtoniterative algorithm
\mathtt{R},matrix,new in R,random variable,regression,programming
\mathtt{S},entropy, surface area, stretch factor, shear stress, Shannon entropy
\mathtt{T},temperature,time,tracer,tangent,true anomaly
\mathtt{U},complexity,class,unweighted graph,uniform distribution,unitary matrix
\mathtt{V},vector,velocity,variable,volume,version
\mathtt{W},work function, weekday, width, weak force, weight
\mathtt{X},tensor,variable,algorithm,hexadecimal,context
\mathtt{Y},vector space,convex set,constant function,linear transformation	matrix transformation
\mathtt{Z},integer set,complex number,z-transform,impedance,matrix dimension
\mathtt{a},acceleration,angular frequency,area,acceleration vector,action
\mathtt{b},variable,subscript,bit,string,base
\mathtt{c},constant,circle,complement,critical point,complex number
\mathtt{d},derivative,distance,dimensions,density,differential
\mathtt{e},Euler's number, error term, eccentricity, electron charge, entropy
\mathtt{f},function,variable,formula,frequency,approxf
\mathtt{g},function, variable, group, graph, algorithm
\mathtt{h},hypothesis,Hamiltonian,heat transfer coefficient,enthalpy 
\mathtt{i},imaginary unit,vector of ones,imaginary part,computer algorithm variable,iteration counter
\mathtt{j},imaginary unit, index of a sequence, subscript in programming, current density, step size
\mathtt{k},wave number,quantum number,rate constant,thermal conductivity,curvature enthalpy
\mathtt{l},line,length,linear,logarithm,luminance
\mathtt{m},vector,unit cell,elementary particle,mass,material
\mathtt{n},number,constant,variable,index,set
\mathtt{o},circle,point,origin,vector,function
\mathtt{p},probability,point,position,vector,inverse
\mathtt{q},quadratic equation,quantity,queue,quaternion quadrature
\mathtt{r},radius,root,rate,rotation,range
\mathtt{s},subspace,sequence,standard deviation,sample space,sample size
\mathtt{t},time, temperature, torque, tension, torque vector
\mathtt{u},value,function,unit,variable,vector
\mathtt{v},velocity,vector,volume,variable,version
\mathtt{w},vector space,weight,workspace,width,work done
\mathtt{x},variable,vector,element,function,algorithm
\mathtt{y},variable,function,constant,vector,matrix
\mathtt{z},complex number,coordinate,variable,function,algorithm
\imath,complex number,imaginary unit,mathematical symbol,real part,vector representation
\jmath,complex conjugate,improper function,harmonic linear vector space,vector space over the complex numbers
\mathbf{\Alpha},vector,velocity,angle,acceleration,force
\mathbf{\Beta},beta,parameter,matrix,coefficient,vector
\mathbf{\Gamma},vector potential, gamma matrices, gamma ray, gamma correction, gamma distribution
\mathbf{\Delta},change in value,discrete set,difference operator,vector symbol,laplace operator
\mathbf{\Epsilon},Kronecker delta,permittivity of free space,strain tensor,elastic modulus,tensor components
\mathbf{\Zeta},Riemann zeta function, Hurwitz zeta function, Lerch zeta function, $\zeta$-function, Ruelle zeta function
\mathbf{\Eta},surface normal,specific humidity,population mean vector,polynomial coefficients,second invariant
\mathbf{\Theta},torque operator,random variable,critical temperature,phase transition,energy eigenvalue
\mathbf{\Iota},vector space,isoparametric mapping,ligand,ideal gas law,run-length decoding
\mathbf{\Kappa},curvature,radius of curvature,constant of integration,conductivity tensor,curvature scalar
\mathbf{\Lambda},matrix,transformations,physics,wave function,tensor
\mathbf{\Mu},vector of means,distribution mean,mean value,mean square error,mean shift
\mathbf{\Nu},velocity field, Nusselt number, Newtonian fluid
\mathbf{\Xi},matrix,quantum state,potential,tensor,rotation
\mathbf{\Omicron},asymptotic notation,algorithm complexity,running time analysis,big O notation,order of growth
\mathbf{\Pi},perimeter,pressure,dimensional analysis,prime counting,functional equation
\mathbf{\Rho},density,correlation coefficient,conditional probability,distribution function,correlation matrix
\mathbf{\varTheta},rotation matrix, angular position, solid angle, torque, thermodynamic potential
\mathbf{\Sigma},covariance matrix, summation notation, eigenvalues, symmetric matrix, standard deviation
\mathbf{\Tau},tangent vector, stress tensor, torque vector
\mathbf{\Upsilon},vector field,flux vector,tensor field,force vector,stream function
\mathbf{\Phi},magnetic flux, potential function, electric potential, conductivity, phase difference
\mathbf{\Chi},angle,characteristic number,electric susceptibility,vector field
\mathbf{\Psi},wave function, quantum state, magnetic flux, stream function, momentum density
\mathbf{\Omega},angular velocity, solid angle, omega particle, Ohm's law, cyclotron frequency
\mathbf{\nabla},gradient,divergence,vector field,material derivative,curl
\mathbf{\alpha},alpha,vector field,angle of attack,statistical significance,angular frequency
\mathbf{\beta},coefficient,vector,regression parameter,covariate matrix,statistical model
\mathbf{\gamma},acceleration vector, Lorentz factor, gyromagnetic ratio, gamma function, Lorentz transformation
\mathbf{\delta},error,change,step,transition,uncertainty
\mathbf{\varepsilon},strain tensor,perturbation term,ResNet architecture,error metric,epsilon-delta definition
\mathbf{\zeta},Riemann zeta function,Hurwitz zeta function,complex variable,zero location,finite summation
\mathbf{\eta},vector,estimated parameter,damping ratio,shape parameter,design parameter
\mathbf{\theta},angle,rotation,angular displacement,angular velocity,angular acceleration
\mathbf{\iota},vector,imaginary unit,vector space,index,unit vector
\mathbf{\kappa},curvature tensor,thermal conductivity,friction coefficient,wave number,curvature scalar
\mathbf{\lambda},eigenvalue,Lebesgue measure,loss function,frequency,regularity
\mathbf{\mu},mean vector,friction coefficient,magnetic moment,mutual information
\mathbf{\nu},frequency,fluid velocity,kinematic viscosity,specific volume,loschmidt constant
\mathbf{\xi},parameter,random vector,weighted sum,complex number,initial guess
\mathbf{\omicron},small-o,order,parametric curve,omega function,unit vector
\mathbf{\pi},constant,circle ratio,math,math formulas,trigonometry formulas
\mathbf{\rho},position vector,density,correlation coefficient,distance from origin,complex number
\mathbf{\varsigma},variance,statistical power,standard deviation,range,significance level
\mathbf{\sigma},stress tensor, standard deviation, cross section area, Pauli matrices, Riemannian metric
\mathbf{\tau},torque, stress tensor, time period, shear stress, torsional wave
\mathbf{\upsilon},velocity,vector field,specific volume,vector potential,velocity field,relative velocity
\mathbf{\varphi},vector potential,quantum state,phase angle,field variable,quantum field
\mathbf{\chi},chi,characteristic function,chi-squared distribution,potential flow,charm quark
\mathbf{\psi},wave function, probability amplitude, quantum state, eigenfunction, Schrödinger equation
\mathbf{\omega},angular velocity,rotation axis,helicity,spin angular momentum,quantum mechanics
\mathbf{\partial},gradient, partial derivative, vector field, differential equation, directional derivative
\mathbf{\epsilon},electric permittivity, strain tensor, error term, Euler's number
\mathbf{\vartheta},angle,correlation coefficient,sensitivity,scale parameter,angle of rotation
\mathbf{\varkappa},curvature vector,kappa parameterization,non-dimensional torsion,fractional erlang case,Latent Dirichlet Allocation
\mathbf{\phi},vector potential,flux,polar angle,quantum state,angular frequency
\mathbf{\varrho},density,mass density,correlation coefficient,pearson correlation coefficient,autocorrelation coefficient
\mathbf{\varpi},angular frequency, polarizability, angular velocity, precession rate, Weierstrass p-function
\mathit{\Alpha},alpha,arbitrary constant,angle of attack,acceleration,alpha particle
\mathit{\Beta},coefficient,statistical significance,material property,correlation,angular velocity
\mathit{\Gamma},gamma function,gamma ray,gamow factor,gamma particles,concentration parameter
\mathit{\Delta},change in,finite difference operator,discrete set of values,delta function,discontinuity
\mathit{\Epsilon},electric permittivity,epsilon-net,low-energy excitations,epsilon-closure,epsilon ball
\mathit{\Zeta},Riemann zeta function,Riemann zeta,Riemann's zeta function,indicial function,Dirichlet series
\mathit{\Eta},orientation,scalar field,rotation matrix,equilibrium equation,mathematical model
\mathit{\Theta},computational complexity theory, not necessarily the same as O(n), asymptotic upper bound, algorithms, worst-case analysis
\mathit{\Iota},imaginary unit,subset index,potential energy current,rndividual index,partial identity
\mathit{\Kappa},curvature,thermal conductivity,viscosity,compressibility,quantum number
\mathit{\Lambda},supersymmetric hierarchy problem,cosmological constant,electromagnetic lagrangian function,planck scale,photon polarization vector
\mathit{\Mu},magnitude,mutual information,muon,mean value,mutation
\mathit{\Nu},Nusselt number, non-dimensional number, Newton's second law, number of tuples, number of vertices
\mathit{\Xi},Greek uppercase xi, large-scale structure,susceptibility tensor,magnetization vector,chi particle physics
\mathit{\Omicron},asymptotic upper bound,algorithmic complexity,analysis of algorithms,error term,asymptotically tight
\mathit{\Pi},area of circle,preimage,set of prime numbers,product,closed integral
\mathit{\Rho},density matrix,reynolds number,correlation coefficient,rotation matrix,transmission coefficient
\mathit{\varTheta},time complexity,theta notation,polynomial time algorithm,asymptotically tight,average-case analysis
\mathit{\Sigma},summation,index set,surface tension,entropy,system's state
\mathit{\Tau},torque,Taylor series,thermal resistance,unknotting number,trace
\mathit{\Upsilon},Bessel function,energy density,conformal weight,digamma function,2HDM potential
\mathit{\Phi},magnetic flux,electric potential,work function,generalized force,potential difference
\mathit{\Chi},index set, characteristic function, susceptibility, characteristic polynomial, chi-squared
\mathit{\Psi},wave function, quantum field operator, characteristic function, polygamma function, excitation function
\mathit{\Omega},angular velocity,magnetic permeability,solid angle,angular frequency,energy eigenvalue
\mathit{\nabla},gradient,vector,operator,field,partial
\mathit{\alpha},angle,angular acceleration,phase angle,angle of attack,radian
\mathit{\beta},angle,coefficient,correlation parameter,regression coefficient,exponential decay rate
\mathit{\gamma},acceleration constant, Euler-Mascheroni constant, Lorentz factor, surface tension, specific surface energy
\mathit{\delta},change in distance,depth,displacement,density,delay
\mathit{\varepsilon},error term,permittivity,small quantity,convergence criterion,epsilon uniformity
\mathit{\zeta},Riemann zeta function,zeta function,zeta regularization,zeta-regularized determinant,zeta distribution
\mathit{\eta},Refractive index,viscosity,parameter,efficiency,exponential decay
\mathit{\theta},angle,angular velocity,polar angle,rotation angle角
\mathit{\iota},embedding map,unit vector in a basis,index set for summation operation,Kronecker delta symbol,imaginary unit
\mathit{\kappa},curvature, conductivity, design parameter, couplings, thermal conductivity
\mathit{\lambda},eigenvalue, wavelength, Lagrange multiplier, characteristic polynomial, Lebesgue measure
\mathit{\mu},mean,population mean,sample mean,coefficient of friction,μ-metal
\mathit{\nu},frequency,kinematic viscosity,velocity,specific volume,poisson ratio
\mathit{\xi},Eigenvector,coordinate,marginal utility,damping ratio,random variable
\mathit{\omicron},asymptotic notation,small-o notation,oscillation coefficient,order of accuracy,error term
\mathit{\pi},circle constant,pi bond,discrete logarithm problem,borel function,pi meson
\mathit{\rho},density, correlation coefficient, population correlation coefficient, noncentrality parameter
\mathit{\varsigma},parameter,variability,material property,statistical variable,error signal
\mathit{\sigma},standard deviation, cross-section area, stress tensor, Pauli matrices, Stefan-Boltzmann constant
\mathit{\tau},angular frequency, torque, shear stress, relaxation time, stress amplitude
\mathit{\upsilon},velocity, volume, viscous stress tensor, specific volume, kinematic viscosity
\mathit{\varphi},angle, potential function, phase difference, angle of rotation, phase shift
\mathit{\chi},intersection,chi-squared test,characteristic function,subgraph
\mathit{\psi},wave function,quantum state,electric potential,angle of rotation,adjoint operator
\mathit{\omega},angular velocity,circular frequency,complex primitive nth root,parameter of a rotated curve,coefficients of Chebyshev polynomials
\mathit{\partial},derivative,partial differential equation,partial derivative,partial derivative operator,partial derivative with respect to,partial fraction
\mathit{\epsilon},epsilon,error term,dielectric constant,heterogeneous,heteroscedastic
